liga,time,jogo,jogador,posicao_x,posicao_y,velocidade,batimentos
Serie A,Inter de Milão,Jogo 2,Nicolò Barella,21,39,30.3,165
Eredivisie,Twente,Jogo 2,Sem Steijn,58,42,34.0,165
Bundesliga,RB Leipzig,Jogo 2,Willi Orbán,76,97,29.5,177
Brasileirão,São Paulo,Jogo 2,Lucas Moura,99,15,33.3,166
Eredivisie,PSV Eindhoven,Jogo 2,Noa Lang,46,52,22.3,165
Brasileirão,Atlético Mineiro,Jogo 2,Éverson,92,47,32.6,168
Primeira Liga,Estoril,Jogo 2,Rodrigo Martins,18,19,23.0,173
Bundesliga,Bayern Munich,Jogo 2,Harry Kane,94,28,32.5,175
Eredivisie,Ajax,Jogo 2,Steven Berghuis,61,63,30.3,158
Primeira Liga,Benfica,Jogo 2,Alexander Bah,25,46,26.9,151
Ligue 1,Lyon,Jogo 2,Anthony Lopes,10,63,34.7,189
Ligue 1,Lille,Jogo 2,Leny Yoro,85,28,27.3,183
Primeira Liga,Porto,Jogo 2,Galeno,35,21,27.2,166
Ligue 1,Lille,Jogo 3,Benjamin André,78,96,29.5,163
Bundesliga,Bayern Munich,Jogo 3,Alphonso Davies,94,25,31.3,185
Primeira Liga,Estoril,Jogo 3,João Carlos,32,77,21.2,172
Eredivisie,Feyenoord,Jogo 3,Lutsharel Geertruida,96,77,33.1,183
La Liga,Real Madrid,Jogo 3,David Alaba,79,57,34.8,163
Eredivisie,Feyenoord,Jogo 3,Quinten Timber,38,62,20.4,177
Eredivisie,Feyenoord,Jogo 3,Quinten Timber,82,69,22.8,190
Eredivisie,Twente,Jogo 3,Manfred Ugalde,46,9,21.8,176
Primeira Liga,Estoril,Jogo 3,Alejandro Marqués,90,61,25.4,155
Bundesliga,Borussia Dortmund,Jogo 3,Julian Brandt,96,15,28.1,186
Primeira Liga,Vitória SC,Jogo 3,Bruno Gaspar,15,29,30.9,166
Ligue 1,Monaco,Jogo 3,Wissam Ben Yedder,3,54,28.1,151
Bundesliga,Freiburg,Jogo 3,Ritsu Doan,15,18,22.2,177
Serie A,Inter de Milão,Jogo 3,Federico Dimarco,19,8,23.2,187
Eredivisie,AZ Alkmaar,Jogo 3,Vangelis Pavlidis,94,3,33.4,156
Primeira Liga,Porto,Jogo 3,Evanilson,38,62,23.2,189
Eredivisie,Twente,Jogo 3,Robin Pröpper,98,60,24.8,172
Ligue 1,Paris Saint-Germain,Jogo 3,Ousmane Dembélé,16,61,31.1,188
Ligue 1,Nice,Jogo 3,Jean-Clair Todibo,1,12,23.2,159
Premier League,Liverpool,Jogo 3,Alisson,3,43,29.7,169
La Liga,Atlético Madrid,Jogo 3,Jan Oblak,13,44,27.3,150
Premier League,Manchester City,Jogo 3,Julián Álvarez,79,54,22.5,190
Premier League,Liverpool,Jogo 3,Virgil van Dijk,84,20,34.1,165
Premier League,Manchester United,Jogo 3,Raphaël Varane,65,64,32.9,176
Bundesliga,Borussia Dortmund,Jogo 3,Mats Hummels,70,15,33.5,154
Premier League,Chelsea,Jogo 3,Thiago Silva,62,76,26.2,188
La Liga,Villarreal,Jogo 3,Gerard Moreno,48,11,24.6,151
Brasileirão,Flamengo,Jogo 3,Gabigol,75,87,31.4,158
Bundesliga,Borussia Dortmund,Jogo 3,Mats Hummels,64,76,24.3,155
Premier League,Manchester City,Jogo 3,Erling Haaland,7,40,20.9,156
Serie A,Napoli,Jogo 3,Victor Osimhen,33,98,29.4,183
Bundesliga,Wolfsburg,Jogo 3,Lovro Majer,2,98,28.4,189
Primeira Liga,Porto,Jogo 3,Wendell,62,66,20.7,173
Ligue 1,Lille,Jogo 3,Jonathan David,4,61,24.4,163
La Liga,Barcelona,Jogo 3,Jules Koundé,84,14,27.7,167
Primeira Liga,Porto,Jogo 3,Galeno,30,90,25.1,179
Eredivisie,Twente,Jogo 3,Robin Pröpper,54,44,24.4,188
Bundesliga,Borussia Dortmund,Jogo 3,Julian Brandt,60,12,28.9,169
Brasileirão,São Paulo,Jogo 3,Lucas Moura,69,31,30.9,154
Bundesliga,Borussia Dortmund,Jogo 3,Julian Brandt,33,99,34.5,170
Premier League,Tottenham,Jogo 3,James Maddison,93,90,29.0,186
Primeira Liga,Porto,Jogo 3,Galeno,89,91,20.2,160
Premier League,Tottenham,Jogo 3,Richarlison,26,54,23.8,170
Primeira Liga,Benfica,Jogo 3,Alexander Bah,43,35,30.4,159
Primeira Liga,Benfica,Jogo 3,Rafa Silva,49,51,30.6,151
Serie A,Milan,Jogo 3,Rafael Leão,10,11,31.8,163
Premier League,Manchester United,Jogo 3,Casemiro,38,66,20.2,155
Premier League,Tottenham,Jogo 3,Richarlison,29,82,33.7,155
Ligue 1,Lyon,Jogo 3,Rayan Cherki,83,69,33.7,160
Serie A,Napoli,Jogo 3,Piotr Zieliński,85,61,23.7,178
Bundesliga,Borussia Dortmund,Jogo 4,Niclas Füllkrug,33,11,33.8,176
Brasileirão,São Paulo,Jogo 4,Luciano,27,35,25.7,157
Bundesliga,Borussia Dortmund,Jogo 4,Emre Can,80,53,22.0,179
Ligue 1,Paris Saint-Germain,Jogo 4,Marquinhos,28,88,27.0,179
La Liga,Villarreal,Jogo 4,Pau Torres,75,99,29.6,168
Eredivisie,Twente,Jogo 4,Sem Steijn,72,79,29.7,182
Serie A,Juventus,Jogo 4,Adrien Rabiot,82,94,26.3,161
Premier League,Manchester City,Jogo 4,Julián Álvarez,69,81,25.0,185
Premier League,Manchester United,Jogo 4,Casemiro,56,48,22.1,170
Brasileirão,Atlético Mineiro,Jogo 4,Paulinho,72,35,28.7,153
Ligue 1,Monaco,Jogo 4,Breel Embolo,44,36,31.6,151
Premier League,Manchester City,Jogo 4,Julián Álvarez,64,15,27.1,178
Primeira Liga,Sporting CP,Jogo 4,Morten Hjulmand,40,89,34.7,161
Serie A,Milan,Jogo 4,Mike Maignan,11,71,20.4,154
La Liga,Villarreal,Jogo 4,Pau Torres,47,59,22.7,171
Ligue 1,Lyon,Jogo 4,Alexandre Lacazette,3,73,26.0,182
Serie A,Milan,Jogo 4,Olivier Giroud,8,5,24.0,160
Ligue 1,Monaco,Jogo 4,Aleksandr Golovin,46,61,32.6,165
Serie A,Roma,Jogo 4,Paulo Dybala,76,25,27.8,175
Serie A,Napoli,Jogo 4,Giovanni Di Lorenzo,15,41,33.2,185
Serie A,Juventus,Jogo 4,Bremer,20,5,30.0,157
Premier League,Arsenal,Jogo 4,Gabriel Martinelli,11,98,28.8,172
Bundesliga,Freiburg,Jogo 4,Vincenzo Grifo,86,29,27.6,167
Primeira Liga,Sporting CP,Jogo 4,Pedro Gonçalves,37,88,26.4,178
Primeira Liga,Braga,Jogo 4,Ricardo Horta,38,12,29.6,168
Serie A,Inter de Milão,Jogo 4,Benjamin Pavard,56,67,29.5,164
Brasileirão,Flamengo,Jogo 4,Bruno Henrique,74,1,30.3,164
La Liga,Atlético Madrid,Jogo 4,Antoine Griezmann,48,53,27.9,173
Serie A,Juventus,Jogo 4,Adrien Rabiot,37,3,30.7,182
Eredivisie,PSV Eindhoven,Jogo 4,Ismael Saibari,7,83,32.2,161
La Liga,Real Madrid,Jogo 4,Vinicius Jr,25,16,20.0,179
Ligue 1,Lyon,Jogo 4,Anthony Lopes,62,52,32.3,161
Bundesliga,Bayern Munich,Jogo 4,Jamal Musiala,27,41,29.9,156
Premier League,Manchester United,Jogo 4,Bruno Fernandes,72,37,28.1,159
Bundesliga,Borussia Dortmund,Jogo 4,Julian Brandt,51,30,32.4,155
Eredivisie,Ajax,Jogo 4,Steven Bergwijn,78,25,23.0,189
Serie A,Milan,Jogo 4,Olivier Giroud,88,98,33.8,178
La Liga,Atlético Madrid,Jogo 4,Antoine Griezmann,20,99,23.3,162
Bundesliga,Bayer Leverkusen,Jogo 4,Victor Boniface,60,94,30.0,157
La Liga,Real Betis,Jogo 4,Guido Rodríguez,96,78,27.1,160
La Liga,Villarreal,Jogo 4,Álex Baena,81,58,22.1,173
Serie A,Roma,Jogo 4,Paulo Dybala,91,70,20.2,167
Serie A,Juventus,Jogo 4,Bremer,27,52,21.9,177
Premier League,Chelsea,Jogo 4,Thiago Silva,94,30,33.8,153
La Liga,Barcelona,Jogo 4,Jules Koundé,41,17,21.4,167
Primeira Liga,Sporting CP,Jogo 4,Sebastián Coates,97,99,22.7,179
Primeira Liga,Estoril,Jogo 4,Cassiano,56,87,22.6,166
Brasileirão,Fluminense,Jogo 4,Nino,92,48,31.2,183
Brasileirão,São Paulo,Jogo 4,Rafinha,32,79,32.9,182
Eredivisie,Ajax,Jogo 4,Brian Brobbey,69,87,34.9,150
La Liga,Sevilla,Jogo 5,Lucas Ocampos,77,52,30.3,166
Ligue 1,Marseille,Jogo 5,Jonathan Clauss,98,49,29.3,174
Eredivisie,Ajax,Jogo 5,Steven Bergwijn,5,18,20.2,176
La Liga,Atlético Madrid,Jogo 5,Álvaro Morata,10,92,31.5,190
Serie A,Lazio,Jogo 5,Luis Alberto,73,58,28.1,162
La Liga,Sevilla,Jogo 5,Nemanja Gudelj,44,41,24.2,163
Eredivisie,Utrecht,Jogo 5,Taylor Booth,46,62,28.3,176
Premier League,Manchester United,Jogo 5,Bruno Fernandes,74,55,21.2,179
Primeira Liga,Porto,Jogo 5,Evanilson,29,33,28.6,156
Ligue 1,Marseille,Jogo 5,Geoffrey Kondogbia,48,9,22.7,173
Brasileirão,Fluminense,Jogo 5,Germán Cano,12,52,24.5,167
Premier League,Manchester City,Jogo 5,Kevin De Bruyne,48,32,22.1,174
Ligue 1,Nice,Jogo 5,Gaëtan Laborde,41,44,20.5,188
Premier League,Manchester City,Jogo 5,Erling Haaland,57,72,33.4,165
Primeira Liga,Braga,Jogo 5,Ricardo Horta,90,10,28.9,183
Eredivisie,PSV Eindhoven,Jogo 5,Ismael Saibari,1,33,24.0,184
Serie A,Inter de Milão,Jogo 5,Nicolò Barella,88,98,35.0,168
Eredivisie,PSV Eindhoven,Jogo 5,Noa Lang,18,23,20.7,186
Brasileirão,Palmeiras,Jogo 5,Gustavo Gómez,39,10,25.3,164
Ligue 1,Nice,Jogo 5,Gaëtan Laborde,59,15,20.2,182
Primeira Liga,Vitória SC,Jogo 5,Jota Silva,93,24,26.6,174
La Liga,Barcelona,Jogo 5,Gavi,7,51,34.8,187
Brasileirão,Fluminense,Jogo 5,Germán Cano,63,78,33.1,181
Eredivisie,AZ Alkmaar,Jogo 5,Vangelis Pavlidis,49,89,23.4,155
Brasileirão,Corinthians,Jogo 5,Cássio,65,8,20.3,156
La Liga,Sevilla,Jogo 5,Youssef En-Nesyri,33,7,28.7,189
Primeira Liga,Sporting CP,Jogo 5,Morten Hjulmand,6,74,26.6,181
Primeira Liga,Sporting CP,Jogo 5,Viktor Gyökeres,64,62,33.5,167
Serie A,Milan,Jogo 5,Theo Hernández,12,84,20.4,181
La Liga,Sevilla,Jogo 5,Youssef En-Nesyri,57,30,27.1,157
Ligue 1,Lyon,Jogo 5,Dejan Lovren,7,32,27.4,177
Bundesliga,RB Leipzig,Jogo 5,Xavi Simons,23,38,26.8,164
Primeira Liga,Estoril,Jogo 5,Rodrigo Martins,51,7,33.2,166
La Liga,Sevilla,Jogo 5,Nemanja Gudelj,24,31,22.3,154
Premier League,Chelsea,Jogo 5,Reece James,64,43,33.3,171
Ligue 1,Nice,Jogo 5,Jean-Clair Todibo,0,4,25.1,157
Bundesliga,Bayern Munich,Jogo 5,Joshua Kimmich,20,48,24.0,154
Brasileirão,Atlético Mineiro,Jogo 5,Hulk,92,60,21.3,157
Ligue 1,Lyon,Jogo 5,Maxence Caqueret,35,0,25.6,165
Ligue 1,Nice,Jogo 5,Terem Moffi,20,26,20.8,170
Bundesliga,Bayern Munich,Jogo 5,Leroy Sané,60,65,34.8,176
Eredivisie,Ajax,Jogo 5,Steven Bergwijn,22,61,29.4,160
Ligue 1,Paris Saint-Germain,Jogo 5,Marquinhos,42,40,20.6,181
La Liga,Real Madrid,Jogo 5,Aurélien Tchouaméni,91,17,21.2,172
Eredivisie,AZ Alkmaar,Jogo 5,Dani de Wit,82,33,33.7,177
Ligue 1,Monaco,Jogo 5,Breel Embolo,98,56,30.0,183
Brasileirão,Flamengo,Jogo 5,Pedro,2,79,21.5,174
Brasileirão,Atlético Mineiro,Jogo 5,Paulinho,14,79,28.8,159
Ligue 1,Monaco,Jogo 5,Youssouf Fofana,87,54,30.5,154
Primeira Liga,Benfica,Jogo 5,João Félix,34,79,25.4,180
Serie A,Roma,Jogo 6,Lorenzo Pellegrini,35,2,34.3,158
Eredivisie,Feyenoord,Jogo 6,Quinten Timber,91,99,32.8,163
Ligue 1,Paris Saint-Germain,Jogo 6,Ousmane Dembélé,64,62,34.6,185
Bundesliga,Bayern Munich,Jogo 6,Leroy Sané,52,1,21.2,169
Serie A,Lazio,Jogo 6,Alessio Romagnoli,22,82,33.6,168
Serie A,Milan,Jogo 6,Mike Maignan,83,27,24.6,186
Bundesliga,Wolfsburg,Jogo 6,Jonas Wind,47,85,33.5,167
Serie A,Napoli,Jogo 6,André-Frank Zambo Anguissa,45,6,29.6,175
La Liga,Barcelona,Jogo 6,Gavi,25,100,32.9,153
Bundesliga,RB Leipzig,Jogo 6,Mohamed Simakan,42,15,27.5,158
La Liga,Real Madrid,Jogo 6,Aurélien Tchouaméni,86,18,23.4,163
Premier League,Manchester United,Jogo 6,Casemiro,93,34,21.7,151
Eredivisie,Twente,Jogo 6,Michel Vlap,40,64,22.0,186
Bundesliga,Bayern Munich,Jogo 6,Jamal Musiala,24,31,28.3,177
Bundesliga,Freiburg,Jogo 6,Roland Sallai,65,37,29.7,181
Primeira Liga,Vitória SC,Jogo 6,Bruno Gaspar,23,95,21.4,157
Bundesliga,RB Leipzig,Jogo 6,Dani Olmo,13,25,32.0,166
Serie A,Roma,Jogo 6,Lorenzo Pellegrini,54,10,32.4,172
Ligue 1,Marseille,Jogo 6,Jonathan Clauss,92,43,30.7,168
Primeira Liga,Estoril,Jogo 6,Morlaye Sylla,18,65,21.0,181
La Liga,Villarreal,Jogo 6,Daniel Parejo,65,69,28.5,189
Ligue 1,Lyon,Jogo 6,Maxence Caqueret,60,20,28.2,161
Brasileirão,Atlético Mineiro,Jogo 6,Éverson,74,50,28.6,189
Bundesliga,Freiburg,Jogo 6,Ritsu Doan,96,27,23.2,186
Brasileirão,Fluminense,Jogo 6,Fábio,92,20,33.7,172
Primeira Liga,Estoril,Jogo 6,Morlaye Sylla,95,36,29.9,150
Ligue 1,Monaco,Jogo 6,Wissam Ben Yedder,63,10,30.2,161
Primeira Liga,Vitória SC,Jogo 6,Tomás Silva,39,92,24.5,184
Ligue 1,Marseille,Jogo 6,Pierre-Emerick Aubameyang,58,30,20.4,164
Eredivisie,PSV Eindhoven,Jogo 6,Joey Veerman,13,97,29.6,166
Brasileirão,Corinthians,Jogo 6,Fagner,19,82,33.1,189
Primeira Liga,Benfica,Jogo 6,Alexander Bah,85,60,27.5,158
Bundesliga,Bayern Munich,Jogo 6,Harry Kane,80,59,30.2,174
Serie A,Inter de Milão,Jogo 6,Nicolò Barella,19,84,24.8,181
Bundesliga,Bayern Munich,Jogo 6,Jamal Musiala,28,31,20.5,152
Ligue 1,Monaco,Jogo 6,Youssouf Fofana,1,97,24.6,178
Ligue 1,Marseille,Jogo 6,Pau López,66,49,30.3,186
Serie A,Napoli,Jogo 6,Giovanni Di Lorenzo,99,27,24.6,168
Brasileirão,Palmeiras,Jogo 6,Dudu,50,80,29.2,158
Bundesliga,Bayern Munich,Jogo 6,Jamal Musiala,39,66,27.0,156
La Liga,Real Madrid,Jogo 6,Aurélien Tchouaméni,91,35,27.8,188
La Liga,Barcelona,Jogo 6,Jules Koundé,42,97,30.9,187
Eredivisie,Twente,Jogo 6,Robin Pröpper,91,7,28.4,189
Primeira Liga,Benfica,Jogo 6,Nicolás Otamendi,55,97,22.0,150
Eredivisie,Ajax,Jogo 6,Steven Berghuis,37,63,22.3,179
Brasileirão,Palmeiras,Jogo 6,Dudu,70,87,34.5,170
Premier League,Manchester City,Jogo 6,Erling Haaland,65,98,25.0,160
Bundesliga,Bayer Leverkusen,Jogo 6,Florian Wirtz,39,68,28.6,150
Primeira Liga,Braga,Jogo 6,Alvaro Djaló,2,14,21.7,150
Primeira Liga,Porto,Jogo 6,Mehdi Taremi,27,43,26.3,172
La Liga,Atlético Madrid,Jogo 7,Koke,87,88,27.5,166
Primeira Liga,Estoril,Jogo 7,Cassiano,76,45,31.4,185
Eredivisie,Ajax,Jogo 7,Jorrel Hato,82,50,27.3,180
Brasileirão,Atlético Mineiro,Jogo 7,Paulinho,83,3,30.6,174
Brasileirão,Fluminense,Jogo 7,Nino,17,64,30.9,176
Ligue 1,Lille,Jogo 7,Benjamin André,35,64,23.3,155
La Liga,Barcelona,Jogo 7,Robert Lewandowski,20,45,33.1,153
Primeira Liga,Sporting CP,Jogo 7,Morten Hjulmand,16,45,24.9,153
Bundesliga,Bayern Munich,Jogo 7,Harry Kane,22,10,28.8,168
Eredivisie,Twente,Jogo 7,Michel Vlap,62,86,33.3,172
Ligue 1,Marseille,Jogo 7,Pau López,10,7,26.3,155
Serie A,Roma,Jogo 7,Tammy Abraham,73,46,32.7,166
La Liga,Sevilla,Jogo 7,Sergio Ramos,59,32,33.7,151
Primeira Liga,Braga,Jogo 7,Ricardo Horta,61,17,31.9,167
Brasileirão,Flamengo,Jogo 7,Éverton Ribeiro,3,73,20.8,183
Brasileirão,Fluminense,Jogo 7,Nino,21,84,29.8,152
Bundesliga,RB Leipzig,Jogo 7,Loïs Openda,2,44,33.5,177
Bundesliga,Wolfsburg,Jogo 7,Maxence Lacroix,75,91,20.9,190
La Liga,Barcelona,Jogo 7,Ronald Araújo,100,24,28.5,156
La Liga,Sevilla,Jogo 7,Lucas Ocampos,28,40,31.1,174
Ligue 1,Lyon,Jogo 7,Dejan Lovren,66,56,28.4,157
Bundesliga,Borussia Dortmund,Jogo 7,Emre Can,77,3,22.3,177
Primeira Liga,Sporting CP,Jogo 7,Viktor Gyökeres,92,35,32.6,186
La Liga,Sevilla,Jogo 7,Nemanja Gudelj,62,37,23.7,158
Premier League,Liverpool,Jogo 7,Darwin Núñez,38,53,29.0,154
Eredivisie,Utrecht,Jogo 7,Taylor Booth,2,34,25.4,177
Serie A,Juventus,Jogo 7,Manuel Locatelli,84,16,26.4,187
Brasileirão,Corinthians,Jogo 7,Cássio,22,100,29.9,168
Ligue 1,Monaco,Jogo 7,Aleksandr Golovin,18,26,23.9,179
Premier League,Manchester United,Jogo 7,Bruno Fernandes,75,23,31.3,167
Ligue 1,Lyon,Jogo 7,Dejan Lovren,4,37,32.2,163
Primeira Liga,Estoril,Jogo 7,Morlaye Sylla,87,80,27.6,173
Premier League,Liverpool,Jogo 7,Virgil van Dijk,29,80,33.8,176
Eredivisie,Twente,Jogo 7,Robin Pröpper,33,61,22.0,165
Ligue 1,Lyon,Jogo 7,Dejan Lovren,52,36,26.8,153
Ligue 1,Marseille,Jogo 7,Ismaïla Sarr,79,60,24.5,152
Bundesliga,Borussia Dortmund,Jogo 7,Marco Reus,44,33,28.4,185
Ligue 1,Paris Saint-Germain,Jogo 7,Marquinhos,13,38,25.8,154
Primeira Liga,Porto,Jogo 7,Galeno,97,35,27.0,159
Bundesliga,RB Leipzig,Jogo 7,Xavi Simons,59,64,26.5,151
Serie A,Roma,Jogo 7,Tammy Abraham,59,54,24.9,189
La Liga,Real Betis,Jogo 7,Juan Miranda,85,92,34.2,161
Serie A,Milan,Jogo 7,Olivier Giroud,55,43,26.1,152
Brasileirão,Flamengo,Jogo 7,Pedro,51,43,28.5,168
Serie A,Roma,Jogo 7,Lorenzo Pellegrini,66,31,26.6,153
Bundesliga,RB Leipzig,Jogo 7,Willi Orbán,74,6,22.8,158
Brasileirão,Flamengo,Jogo 7,Giorgian De Arrascaeta,86,6,30.2,156
La Liga,Real Madrid,Jogo 7,Vinicius Jr,57,48,31.3,183
Brasileirão,Fluminense,Jogo 7,Fábio,38,83,28.3,155
Brasileirão,Corinthians,Jogo 7,Yuri Alberto,5,55,22.3,165
Eredivisie,Feyenoord,Jogo 8,Quinten Timber,41,22,27.0,165
Primeira Liga,Porto,Jogo 8,Galeno,85,30,20.6,162
La Liga,Atlético Madrid,Jogo 8,Antoine Griezmann,69,91,31.7,176
Bundesliga,Freiburg,Jogo 8,Christian Günter,40,88,21.2,159
Primeira Liga,Estoril,Jogo 8,Alejandro Marqués,91,93,34.9,167
Ligue 1,Marseille,Jogo 8,Pau López,36,97,30.9,165
Premier League,Manchester City,Jogo 8,Phil Foden,17,33,28.9,160
Eredivisie,Twente,Jogo 8,Robin Pröpper,55,1,22.5,169
Bundesliga,Freiburg,Jogo 8,Christian Günter,36,25,23.1,160
Brasileirão,São Paulo,Jogo 8,Rafinha,18,79,22.0,176
Serie A,Inter de Milão,Jogo 8,Hakan Çalhanoğlu,42,13,34.0,166
Bundesliga,Wolfsburg,Jogo 8,Lovro Majer,99,95,34.5,156
